,code,country,Gold,Silver,Bronze,Total
187,USA,United States,139,54,71,264
72,GER,Germany,49,44,67,160
68,GBR,United Kingdom,64,55,26,145
152,RUS,Russia,52,29,34,115
38,CHN,China,46,30,37,113
64,FRA,France,20,54,21,95
10,AUS,Australia,23,34,25,82
92,ITA,Italy,8,40,24,72
33,CAN,Canada,4,4,61,69
96,JPN,Japan,17,13,35,65
26,BRA,Brazil,37,8,6,51
130,NED,Netherlands,9,25,13,47
59,ESP,Spain,9,19,17,45
51,DEN,Denmark,15,10,16,41
136,NZL,New Zealand,6,25,5,36
94,JAM,Jamaica,11,17,2,30
170,SWE,Sweden,2,23,3,28
100,KOR,"Korea, South",13,3,10,26
47,CRO,Croatia,7,15,2,24
151,RSA,South Africa,2,7,14,23
