,code,country,Population,GDP,TotalAthletes,Gold,Silver,Bronze,Total
187,USA,United States,321418820.0,56116.0,567,139,54,71,264
72,GER,Germany,81413145.0,41313.0,441,49,44,67,160
68,GBR,United Kingdom,65138232.0,43876.0,374,64,55,26,145
152,RUS,Russia,144096812.0,9093.0,286,52,29,34,115
38,CHN,China,1371220000.0,8028.0,404,46,30,37,113
64,FRA,France,66808385.0,36206.0,410,20,54,21,95
10,AUS,Australia,23781169.0,56311.0,431,23,34,25,82
92,ITA,Italy,60802085.0,29958.0,312,8,40,24,72
33,CAN,Canada,35851774.0,43249.0,321,4,4,61,69
96,JPN,Japan,126958472.0,32477.0,346,17,13,35,65
26,BRA,Brazil,207847528.0,8539.0,485,37,8,6,51
130,NED,Netherlands,16936520.0,44300.0,249,9,25,13,47
59,ESP,Spain,46418269.0,25832.0,313,9,19,17,45
51,DEN,Denmark,5676002.0,51989.0,128,15,10,16,41
136,NZL,New Zealand,4595700.0,37808.0,208,6,25,5,36
94,JAM,Jamaica,2725941.0,5232.0,57,11,17,2,30
170,SWE,Sweden,9798871.0,50580.0,164,2,23,3,28
100,KOR,"Korea, South",50617045.0,27222.0,213,13,3,10,26
47,CRO,Croatia,4224404.0,11536.0,88,7,15,2,24
151,RSA,South Africa,54956920.0,5724.0,146,2,7,14,23
